Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points,,,Player Name
Marcelo,Real Madrid,Defender,15,251,0,43,0,17,82,17,50,4,1,3,0,126.75,251,-124.25,Marcelo
Karim Benzema,Real Madrid,Forward,15,476,8,46,0,21,81,13,47,1,0,1,0,126.5875,476,-349.4125,Karim Benzema
Philippe Coutinho,Liverpool,Midfielder,18,354,2,50,0,19,81,16,49,1,1,2,0,124,354,-230,Philippe Coutinho
Ivan Rakitic,Barcelona,Midfielder,16,432,3,40,0,18,90,16,40,2,0,0,0,123,432,-309,Ivan Rakitic
Kieran Gibbs,Arsenal,Defender,16,138,0,17,0,11,82,18,46,5,0,3,0,122.25,138,-15.75,Kieran Gibbs
Danny Welbeck,Arsenal,Forward,16,405,4,50,0,26,83,11,49,2,0,2,0,121.88,405,-283.12,Danny Welbeck
Nacho Monreal,Arsenal,Defender,15,311,0,0,0,5,88,16,54,6,0,1,0,121.75,311,-189.25,Nacho Monreal
Gareth Bale,Real Madrid,Forward,14,452,8,54,0,17,79,15,55,1,1,1,0,119.785,452,-332.215,Gareth Bale
Aaron Ramsey,Arsenal,Midfielder,14,302,3,31,0,28,85,17,42,2,2,2,0,119,302,-183,Aaron Ramsey
Chris Smalling,Manchester United,Defender,12,333,1,17,0,2,89,23,55,9,0,1,1,118.5,333,-214.5,Chris Smalling
Phil Jones,Manchester United,Defender,10,328,0,50,0,4,87,21,56,11,0,1,0,118,328,-210,Phil Jones
Younes Kaboul,Tottenham Hotspur,Defender,11,150,0,33,0,4,80,22,49,11,2,2,0,117,150,-33,Younes Kaboul
Carl Jenkinson,West Ham United,Defender,17,20,0,67,0,10,79,18,37,5,1,1,0,116.5,20,96.5,Carl Jenkinson
Gerard Piqué,Barcelona,Defender,12,495,2,50,0,2,90,20,58,7,0,4,0,116.5,495,-378.5,Gerard Piqué
Eliaquim Mangala,Manchester City,Defender,13,119,0,17,0,3,88,18,55,9,1,4,1,116.25,119,-2.75,Eliaquim Mangala
