Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points,PointsMod
Jérémy Toulalan,Monaco,Midfielder,16,381,0,25,0,7,80,20,56,6,2,4,0,107.4,125
Luciano Narsingh,PSV,Forward,14,318,3,55,0,31,80,13,61,0,0,1,0,114.45,125
Raffael,Borussia Mönchengladbach,Forward,15,362,3,57,0,24,83,15,48,0,0,0,0,115.3875,125
Niklas Moisander,Ajax,Defender,17,410,0,40,0,5,88,21,54,8,0,1,0,143.0,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Andrea Poli,Milan,Midfielder,18,142,1,18,0,12,86,15,50,2,0,2,0,118.2,124
Morgan Schneiderlin,Southampton,Midfielder,16,307,3,42,0,10,89,18,39,4,0,5,1,112.2,124
Luuk de Jong,PSV,Forward,13,416,6,59,0,25,73,12,57,2,0,0,0,115.5275,124
Toby Alderweireld,Southampton,Defender,16,364,1,33,0,5,81,24,54,8,0,2,0,142.4,124
Clinton N'Jie,Lyon,Forward,18,144,1,71,0,14,76,14,40,0,0,0,0,116.73,124
Lars Bender,Bayer 04 Leverkusen,Midfielder,14,256,1,33,0,15,69,16,55,6,0,4,0,105.4,123
Robert Lewandowski,FC Bayern München,Forward,15,362,7,54,0,14,72,13,45,1,0,0,0,116.55,123
Hernanes,Internazionale,Midfielder,14,379,2,35,0,28,84,15,49,2,0,2,0,116.55,123
Hernanes,Internazionale,Midfielder,14,379,2,35,0,28,84,15,49,2,0,2,0,116.55,123
Hernanes,Internazionale,Midfielder,14,379,2,35,0,28,84,15,49,2,0,2,0,116.55,123
Fernando Llorente,Juventus,Forward,17,126,4,57,0,14,72,11,42,1,0,0,0,115.765,122
Emir Spahic,Bayer 04 Leverkusen,Defender,16,272,1,33,0,1,73,22,60,10,1,5,1,145.8,122
Jordi Alba,Barcelona,Defender,15,518,1,64,0,17,88,15,52,5,0,2,0,140.8,122
Vieirinha,VfL Wolfsburg,Midfielder,16,206,1,50,0,20,70,19,48,3,0,0,0,113.2,122
Antonio Candreva,Lazio,Midfielder,15,427,2,53,0,25,81,17,58,1,0,1,0,119.125,122
Fraser Forster,Southampton,Goalkeeper,21,287,10,0.71,0,2,2.8,98,29,62,44,0,0,92,122
Stefan de Vrij,Lazio,Defender,17,460,0,44,0,5,85,23,48,11,0,3,1,146.2,122
Gonzalo Rodríguez,Fiorentina,Defender,16,415,2,56,0,4,83,24,54,9,1,6,1,144.6,122
Tiago,Atlético de Madrid,Midfielder,13,383,3,73,0,9,82,17,49,5,0,1,0,106.575,122
Fabinho,Monaco,Defender,18,320,0,25,0,8,80,19,52,5,0,2,0,135.4,121
Ralf Fährmann,FC Schalke 04,Goalkeeper,17,292,5,1.24,0,3.35,2.85,100,35,60,40,0,0,106,121
Florentin Pogba,St Etienne,Defender,13,387,1,40,0,1,81,23,63,11,0,0,0,143.4,121
Dodô,Internazionale,Defender,16,195,0,50,0,16,80,15,56,4,0,3,0,136.7,121
Dodô,Internazionale,Defender,16,195,0,50,0,16,80,15,56,4,0,3,0,136.7,121
