Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Mariano Barbosa,Sevilla,Goalkeeper,2,9,0,1.0,0,0.5,0.5,100,100,71,40,0,0,14.0,
Beto,Sevilla,Goalkeeper,14,111,6,1.0,0,1.79,1.79,88,36,62,39,2,0,67.8,
Sergio Rico,Sevilla,Goalkeeper,2,33,1,0.5,0,1.5,3.0,100,50,38,48,0,0,35.0,
Anthony Lopes,Lyon,Goalkeeper,20,425,8,0.85,0,1.7,2.13,98,55,61,39,0,0,82.0,
Jeremy Frick,Lyon,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Mathieu Gorgelin,Lyon,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Brice Samba,Marseille,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Steve Mandanda,Marseille,Goalkeeper,20,406,6,0.95,0,2.5,2.63,93,35,82,33,1,0,95.0,
Julien Fabri,Marseille,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Baptiste Valette,St Etienne,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Stéphane Ruffier,St Etienne,Goalkeeper,20,349,12,0.65,0,2.2,4.0,100,30,65,39,0,0,96.0,
Jessy Moulin,St Etienne,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Nicolas Douchez,Paris Saint Germain,Goalkeeper,1,67,0,4.0,0,0.0,0.0,0,0,73,32,0,0,2.0,
Mike Maignan,Paris Saint Germain,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Salvatore Sirigu,Paris Saint Germain,Goalkeeper,19,422,8,0.68,0,1.79,3.09,85,37,80,30,1,0,80.8,
Mory Diaw,Paris Saint Germain,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Danijel Subasic,Monaco,Goalkeeper,20,226,9,0.9,0,1.7,2.13,93,30,65,42,2,0,81.0,
Maarten Stekelenburg,Monaco,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Seydou Sy,Monaco,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Marc-Aurele Caillard,Monaco,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Gianluigi Buffon,Juventus,Goalkeeper,17,483,10,0.47,0,1.41,3.0,94,24,84,29,0,0,72.2,
Marco Storari,Juventus,Goalkeeper,1,13,0,1.0,0,1.0,1.0,100,0,95,26,0,0,22.0,
Rubinho,Juventus,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Giacomo Volpe,Juventus,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Emil Audero,Juventus,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Bogdan Lobont,Roma,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Gianluca Curci,Roma,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Morgan De Sanctis,Roma,Goalkeeper,16,530,10,0.63,0,2.31,3.7,94,31,70,35,0,0,88.2,
Lukasz Skorupski,Roma,Goalkeeper,2,22,1,1.5,0,1.0,0.67,100,0,76,29,0,0,25.0,
Gabriele Marchegiani,Roma,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Etrit Berisha,Lazio,Goalkeeper,4,12,1,1.5,0,0.75,0.5,75,25,73,35,0,0,24.0,
Federico Marchetti,Lazio,Goalkeeper,14,75,5,1.07,0,1.93,1.93,100,36,59,41,4,0,67.6,
Guido Guerrieri,Lazio,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Thomas Strakosha,Lazio,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Rafael Cabral,Napoli,Goalkeeper,18,13,4,1.33,0,1.06,0.79,79,28,67,37,0,0,61.2,
Nikita Contini,Napoli,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Roberto Colombo,Napoli,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Mariano Andujar,Napoli,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Antonio Rosati,Napoli,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
